18-Sep-2019 (20:05:01.226339)  counterInt: 218
18-Sep-2019 (20:05:01.764004)  counterInt: 219
18-Sep-2019 (20:05:02.307667)  counterInt: 220
18-Sep-2019 (20:05:02.849331)  counterInt: 221
18-Sep-2019 (20:05:03.379005)  counterInt: 222
18-Sep-2019 (20:05:03.921665)  counterInt: 223
18-Sep-2019 (20:05:04.408366)  counterInt: 224
18-Sep-2019 (20:05:04.940033)  counterInt: 225
18-Sep-2019 (20:05:05.488692)  counterInt: 226
18-Sep-2019 (20:05:06.035354)  counterInt: 227
18-Sep-2019 (20:05:06.572020)  counterInt: 228
18-Sep-2019 (20:05:07.107688)  counterInt: 229
18-Sep-2019 (20:05:07.666341)  counterInt: 230
18-Sep-2019 (20:05:08.202008)  counterInt: 231
18-Sep-2019 (20:05:08.728684)  counterInt: 232
18-Sep-2019 (20:05:09.279339)  counterInt: 233
18-Sep-2019 (20:05:09.805016)  counterInt: 234
18-Sep-2019 (20:05:10.354672)  counterInt: 235
18-Sep-2019 (20:05:10.901331)  counterInt: 236
18-Sep-2019 (20:05:11.444995)  counterInt: 237
18-Sep-2019 (20:05:11.975667)  counterInt: 238
18-Sep-2019 (20:05:12.518327)  counterInt: 239
18-Sep-2019 (20:05:13.048998)  counterInt: 240
18-Sep-2019 (20:05:13.579673)  counterInt: 241
18-Sep-2019 (20:05:14.120334)  counterInt: 242
18-Sep-2019 (20:05:14.684984)  counterInt: 243
18-Sep-2019 (20:05:15.303601)  counterInt: 244
18-Sep-2019 (20:05:15.854256)  counterInt: 245
18-Sep-2019 (20:05:16.454886)  counterInt: 246
18-Sep-2019 (20:05:17.007544)  counterInt: 247
18-Sep-2019 (20:05:17.506234)  counterInt: 248
18-Sep-2019 (20:05:18.051464)  counterInt: 249
18-Sep-2019 (20:05:18.598130)  counterInt: 250
18-Sep-2019 (20:05:19.143809)  counterInt: 251
18-Sep-2019 (20:05:19.670504)  counterInt: 252
18-Sep-2019 (20:05:20.215681)  counterInt: 253
18-Sep-2019 (20:05:20.785343)  counterInt: 254
18-Sep-2019 (20:05:21.400489)  counterInt: 255
18-Sep-2019 (20:05:21.953667)  counterInt: 256
18-Sep-2019 (20:05:22.488340)  counterInt: 257
18-Sep-2019 (20:05:23.027293)  counterInt: 258
18-Sep-2019 (20:05:23.513514)  counterInt: 259
18-Sep-2019 (20:05:24.042254)  counterInt: 260
18-Sep-2019 (20:05:24.581426)  counterInt: 261
18-Sep-2019 (20:05:25.122512)  counterInt: 262
18-Sep-2019 (20:05:25.604408)  counterInt: 263
18-Sep-2019 (20:05:26.152606)  counterInt: 264
18-Sep-2019 (20:05:26.637324)  counterInt: 265
18-Sep-2019 (20:05:27.206111)  counterInt: 266
18-Sep-2019 (20:05:27.760392)  counterInt: 267
18-Sep-2019 (20:05:28.243691)  counterInt: 268
18-Sep-2019 (20:05:28.796345)  counterInt: 269
18-Sep-2019 (20:05:29.345005)  counterInt: 270
18-Sep-2019 (20:05:29.888669)  counterInt: 271
18-Sep-2019 (20:05:30.425333)  counterInt: 272
18-Sep-2019 (20:05:30.976991)  counterInt: 273
18-Sep-2019 (20:05:31.514658)  counterInt: 274
18-Sep-2019 (20:05:32.045328)  counterInt: 275
18-Sep-2019 (20:05:32.583993)  counterInt: 276
18-Sep-2019 (20:05:33.129657)  counterInt: 277
18-Sep-2019 (20:05:33.674317)  counterInt: 278
18-Sep-2019 (20:05:34.240964)  counterInt: 279
18-Sep-2019 (20:05:34.817607)  counterInt: 280
18-Sep-2019 (20:05:35.369265)  counterInt: 281
18-Sep-2019 (20:05:35.898938)  counterInt: 282
18-Sep-2019 (20:05:36.452594)  counterInt: 283
18-Sep-2019 (20:05:36.988260)  counterInt: 284
18-Sep-2019 (20:05:37.532921)  counterInt: 285
18-Sep-2019 (20:05:38.059597)  counterInt: 286
18-Sep-2019 (20:05:38.605255)  counterInt: 287
18-Sep-2019 (20:05:39.145922)  counterInt: 288
18-Sep-2019 (20:05:39.685585)  counterInt: 289
18-Sep-2019 (20:05:40.241239)  counterInt: 290
18-Sep-2019 (20:05:40.800892)  counterInt: 291
18-Sep-2019 (20:05:41.284591)  counterInt: 292
18-Sep-2019 (20:05:41.825256)  counterInt: 293
18-Sep-2019 (20:05:42.388908)  counterInt: 294
18-Sep-2019 (20:05:42.952556)  counterInt: 295
18-Sep-2019 (20:05:43.484225)  counterInt: 296
18-Sep-2019 (20:05:44.011901)  counterInt: 297
18-Sep-2019 (20:05:44.549565)  counterInt: 298
18-Sep-2019 (20:05:45.087231)  counterInt: 299
18-Sep-2019 (20:05:45.629896)  counterInt: 300
18-Sep-2019 (20:05:46.181552)  counterInt: 301
18-Sep-2019 (20:05:46.727215)  counterInt: 302
18-Sep-2019 (20:05:47.288864)  counterInt: 303
18-Sep-2019 (20:05:47.791553)  counterInt: 304
18-Sep-2019 (20:05:48.331216)  counterInt: 305
18-Sep-2019 (20:05:48.866886)  counterInt: 306
18-Sep-2019 (20:05:49.439530)  counterInt: 307
18-Sep-2019 (20:05:49.984191)  counterInt: 308
18-Sep-2019 (20:05:50.523855)  counterInt: 309
18-Sep-2019 (20:05:51.103496)  counterInt: 310
18-Sep-2019 (20:05:51.684135)  counterInt: 311
18-Sep-2019 (20:05:52.216804)  counterInt: 312
18-Sep-2019 (20:05:52.756468)  counterInt: 313
18-Sep-2019 (20:05:53.298136)  counterInt: 314
18-Sep-2019 (20:05:53.828806)  counterInt: 315
18-Sep-2019 (20:05:54.400450)  counterInt: 316
18-Sep-2019 (20:05:54.975101)  counterInt: 317
18-Sep-2019 (20:05:55.548737)  counterInt: 318
18-Sep-2019 (20:05:56.106391)  counterInt: 319
18-Sep-2019 (20:05:56.726004)  counterInt: 320
18-Sep-2019 (20:05:57.391593)  counterInt: 321
18-Sep-2019 (20:05:58.038193)  counterInt: 322
18-Sep-2019 (20:05:58.603840)  counterInt: 323
18-Sep-2019 (20:05:59.146501)  counterInt: 324
18-Sep-2019 (20:05:59.686166)  counterInt: 325
18-Sep-2019 (20:06:00.254815)  counterInt: 326
18-Sep-2019 (20:06:00.856442)  counterInt: 327
18-Sep-2019 (20:06:01.440078)  counterInt: 328
18-Sep-2019 (20:06:01.984743)  counterInt: 329
18-Sep-2019 (20:06:02.534399)  counterInt: 330
18-Sep-2019 (20:06:03.174001)  counterInt: 331
18-Sep-2019 (20:06:03.719663)  counterInt: 332
18-Sep-2019 (20:06:04.265327)  counterInt: 333
18-Sep-2019 (20:06:04.836970)  counterInt: 334
18-Sep-2019 (20:06:05.402618)  counterInt: 335
18-Sep-2019 (20:06:05.962271)  counterInt: 336
18-Sep-2019 (20:06:06.595882)  counterInt: 337
18-Sep-2019 (20:06:07.226494)  counterInt: 338
18-Sep-2019 (20:06:07.939042)  counterInt: 339
18-Sep-2019 (20:06:08.533677)  counterInt: 340
18-Sep-2019 (20:06:09.093012)  counterInt: 341
18-Sep-2019 (20:06:09.633675)  counterInt: 342
18-Sep-2019 (20:06:10.210950)  counterInt: 343
18-Sep-2019 (20:06:10.812587)  counterInt: 344
18-Sep-2019 (20:06:11.362261)  counterInt: 345
18-Sep-2019 (20:06:11.907957)  counterInt: 346
18-Sep-2019 (20:06:12.483129)  counterInt: 347
18-Sep-2019 (20:06:13.022826)  counterInt: 348
18-Sep-2019 (20:06:13.628113)  counterInt: 349
18-Sep-2019 (20:06:14.187775)  counterInt: 350
18-Sep-2019 (20:06:14.675010)  counterInt: 351
18-Sep-2019 (20:06:15.292181)  counterInt: 352
18-Sep-2019 (20:06:15.802889)  counterInt: 353
18-Sep-2019 (20:06:16.354743)  counterInt: 354
18-Sep-2019 (20:06:16.925943)  counterInt: 355
18-Sep-2019 (20:06:17.550082)  counterInt: 356
18-Sep-2019 (20:06:18.118732)  counterInt: 357
18-Sep-2019 (20:06:18.642410)  counterInt: 358
18-Sep-2019 (20:06:19.189067)  counterInt: 359
18-Sep-2019 (20:06:19.731730)  counterInt: 360
18-Sep-2019 (20:06:20.264399)  counterInt: 361
18-Sep-2019 (20:06:20.787075)  counterInt: 362
18-Sep-2019 (20:06:21.361720)  counterInt: 363
18-Sep-2019 (20:06:22.223187)  counterInt: 364
18-Sep-2019 (20:06:22.871783)  counterInt: 365
18-Sep-2019 (20:06:23.412449)  counterInt: 366
18-Sep-2019 (20:06:24.051056)  counterInt: 367
